Tract,Income,Population,Population Density,Unemployment (%),Under 18 Population,Under 5 Population,Non-White (%),School Enrollment,Non-Hispanic and Non-Black (%),Highschool Graduate (%),Poverty Rate (%),Owner Occupied,Renter Occupied,Owner Occupied (%),Renter Occupied (%),65 years and over,Under 18 (%),Under 5 (%),65 years and over (%),School Enrollment (%)
230800,31250,2317,3241.133470228814,16.4,535,136,71.04013810962452,419,-0.3,40.0,23.0,480,276,63.49206349206349,36.507936507936506,582,0.23090202848511004,0.0586965904186448,0.25118687958567115,0.18083728959861892
230900,22227,4107,1672.839035,13.6,1068,314,80.81324567811055,813,1.2999999999999972,35.0,43.2,617,981,38.61076345,61.38923655,477,0.26004382761139516,0.07645483321158997,0.11614317019722425,0.197954711468225
231000,43193,4677,2935.800426599484,15.7,1150,158,58.90528116313877,1079,7.299999999999997,41.8,17.5,1025,374,73.26661901358112,26.73338098641887,656,0.24588411374812913,0.0337823391062647,0.14026085097284585,0.23070344237759247
231100,40389,5010,1160.8323745900582,10.4,1865,467,36.946107784431135,1400,7.400000000000006,27.5,24.2,971,493,66.32513661202186,33.67486338797814,437,0.3722554890219561,0.09321357285429142,0.08722554890219561,0.27944111776447106
231200,36646,7450,1381.520888745673,10.6,2386,444,72.71140939597316,1882,5.5,42.0,18.1,1073,1119,48.950729927007295,51.049270072992705,708,0.32026845637583895,0.05959731543624161,0.09503355704697987,0.2526174496644295
231300,37792,4496,2420.2876629779576,9.7,1055,303,70.52935943060498,806,0.3999999999999915,38.2,30.0,919,576,61.47157190635452,38.52842809364548,624,0.23465302491103202,0.0673932384341637,0.1387900355871886,0.17927046263345195
231400,40641,2837,2185.300260976075,11.7,675,256,94.25449418399718,469,0.7999999999999972,42.4,23.8,616,348,63.90041493775933,36.09958506224066,594,0.23792738808600636,0.09023616496298907,0.2093761015156856,0.16531547409235106
231500,30658,3000,6701.899760047192,13.1,772,185,88.4,542,-1.5,38.9,35.9,550,388,58.63539445628998,41.36460554371002,598,0.25733333333333336,0.06166666666666667,0.19933333333333333,0.18066666666666667
231600,46024,3350,5212.680151,8.5,817,159,68.62686567,693,0.9000000000000057,39.1,15.2,842,179,82.46816846229187,17.53183153770813,631,0.24388059701492537,0.04746268656716418,0.18835820895522387,0.20686567164179104
231700,30393,3640,2228.9807053655613,5.2,1231,379,9.010989010989013,823,3.5,25.8,39.6,729,343,68.00373134328358,31.99626865671642,260,0.3381868131868132,0.10412087912087913,0.07142857142857142,0.2260989010989011
231800,42321,3091,2836.1006445448397,10.6,974,332,33.71077321255257,708,3.2000000000000064,29.7,24.1,580,276,67.75700935,32.242990654205606,402,0.31510837916531864,0.1074086056292462,0.1300549983824005,0.22905208670333224
231900,41458,7696,2204.6081927594087,17.8,1879,669,67.35966735966737,1221,1.0,38.9,18.5,1458,785,65.00222915737851,34.99777084262149,1272,0.24415280665280664,0.08692827442827443,0.1652806652806653,0.15865384615384615
232000,48531,4420,695.4463999291629,10.7,1256,250,44.230769230769226,1010,0.7999999999999972,28.2,20.2,1000,326,75.41478129713424,24.58521870286576,614,0.2841628959276018,0.05656108597285068,0.13891402714932127,0.22850678733031674
232100,35824,3590,2875.8766218680444,2.0,1222,406,28.63509749303621,835,5.899999999999999,36.9,30.8,494,482,50.614754098360656,49.385245901639344,249,0.3403899721448468,0.11309192200557103,0.06935933147632312,0.23259052924791088
